id,host_name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,region_parent_name
20167181,Stephen,53.99797,-7.35944,Private room,9,4,6,$41.00,31,97,Cavan County Council
25394574,Ann,52.83514,-9.38715,Private room,3,1,2,$55.00,50,99,Clare County Council
26404845,Germaine & John,52.82979,-9.40827,Private room,2,1,1,$89.00,5,100,Clare County Council
34939419,Elaine,52.18213,-8.90817,Private room,2,1,1,$36.00,0,,Cork County Council
3132041,Patrick,52.8382,-9.37425,Entire home/apt,2,1,1,$60.00,426,98,Clare County Council
23912274,John,53.97891,-7.50252,Entire home/apt,6,3,3,$122.00,7,100,Cavan County Council
19924030,Cathrina,53.94563,-7.48501,Entire home/apt,10,4,8,$90.00,47,96,Cavan County Council
12634303,Gordon,52.17811,-8.84952,Private room,6,3,5,$235.00,0,,Cork County Council
34339667,Gladys,53.95948,-7.54717,Entire home/apt,3,2,2,$35.00,18,99,Cavan County Council
34864503,Aileen,52.79771,-9.43838,Entire home/apt,4,1,2,$55.00,5,100,Clare County Council
20534251,Joe,52.17506,-8.83798,Private room,2,1,1,$50.00,98,99,Cork County Council
24969306,David,52.83044,-9.43008,Entire home/apt,11,5,8,$395.00,6,100,Clare County Council
33286758,Geraldine,53.92808,-7.58813,Entire home/apt,5,3,3,$50.00,20,100,Cavan County Council
25578654,Dee,52.19906,-8.86659,Entire home/apt,3,1,2,$65.00,176,99,Cork County Council
27244596,Anna,53.82706,-7.04091,Entire home/apt,2,1,1,$40.00,114,100,Cavan County Council
25780369,Orna,53.8267,-7.28893,Entire home/apt,6,3,3,$89.00,42,99,Cavan County Council
35313858,Breen,52.63624,-9.48041,Entire home/apt,2,1,1,$65.00,21,97,Clare County Council
17051109,Brenda,52.68005,-9.66135,Entire home/apt,6,3,4,$95.00,14,97,Clare County Council
33149943,Tadhg Martina,52.21595,-8.9992,Entire home/apt,4,1,1,$48.00,14,100,Cork County Council
20210088,Kenneth,52.67665,-9.65767,Entire home/apt,4,3,3,$125.00,60,98,Clare County Council
32797087,Caitríona,53.84058,-7.09304,Private room,4,1,1,$55.00,16,98,Cavan County Council
37905093,Gary,53.82743,-7.27381,Entire home/apt,4,2,3,$93.00,4,100,Cavan County Council
44025155,Evelyn,51.94641,-7.84698,Entire home/apt,4,2,3,$100.00,8,100,Cork County Council
21713081,Garry,54.00965,-6.92622,Entire home/apt,16,5,12,$396.00,88,93,Cavan County Council
19368821,Brigitte,52.75217,-9.37419,Entire home/apt,3,1,2,$50.00,196,99,Clare County Council
44790476,Conor,51.94199,-7.85042,Entire home/apt,8,4,6,$300.00,3,73,Cork County Council
10338193,Theresa & Jerome,52.82286,-9.41355,Entire home/apt,8,1,6,$75.00,474,98,Clare County Council
25869036,Barbara,51.947,-7.84741,Private room,3,1,2,$45.00,11,93,Cork County Council
19268937,Wieslawa,52.75004,-9.08985,Entire home/apt,4,1,2,$79.00,34,99,Clare County Council
11957032,Ann,52.68408,-9.64403,Entire home/apt,7,3,5,$100.00,1,100,Clare County Council
28885819,Declan,54.07526,-7.34023,Private room,6,3,1,$75.00,0,,Cavan County Council
44049929,Anthony,51.93993,-7.84756,Entire home/apt,9,4,5,$221.00,19,97,Cork County Council
39332927,Carmel,52.26825,-7.33225,Entire home/apt,2,1,1,$95.00,46,98,Waterford City And County Council
33356578,Beds,52.62511,-9.24508,Entire home/apt,2,,1,$130.00,1,,Clare County Council
22970823,Michael,51.84618,-8.15846,Entire home/apt,6,3,4,$100.00,168,89,Cork County Council
17139341,Kevin,52.82424,-9.36005,Entire home/apt,8,2,6,$120.00,53,94,Clare County Council
42491646,Aidan,52.20943,-7.53656,Private room,3,1,2,$46.00,22,99,Waterford City And County Council
18086811,Kamla,51.93627,-8.10176,Private room,2,1,1,$50.00,1,100,Cork County Council
41190687,John,52.08932,-7.61683,Entire home/apt,4,2,2,$100.00,37,96,Waterford City And County Council
29497297,Rosarie,51.81097,-8.57504,Private room,2,1,2,$36.00,12,97,Cork County Council
28296431,Caroline,51.97718,-7.71547,Entire home/apt,3,2,2,$80.00,2,100,Waterford City And County Council
28020285,Marianne,52.29231,-7.31858,Private room,2,1,1,$35.00,12,98,Waterford City And County Council
24144713,Rosarie,51.81007,-8.56902,Private room,2,2,2,$36.00,79,99,Cork County Council
